"Word","Auditory.mean","Gustatory.mean","Haptic.mean","Interoceptive.mean","Olfactory.mean","Visual.mean","Auditory.SD","Gustatory.SD","Haptic.SD","Interoceptive.SD","Olfactory.SD","Visual.SD","Max_strength.perceptual","Exclusivity.perceptual","Dominant.perceptual","Minkowski3.perceptual","N_known.perceptual","Percent_known.perceptual"
"UNFORTIFIED",0.5,0.25,1.312,0.562,0.25,2.625,1.033,0.683,1.662,1.153,0.775,1.544,2.625,0.432,"Visual",2.745,16,0.842
"UNFORTUNATE",2.273,0.591,0.727,1.818,0.545,2.545,1.856,1.26,1.486,1.816,1.224,1.845,2.545,0.235,"Visual",3.271,22,1
"UNFORTUNATELY",1.486,0.189,0.216,2,0.135,1.838,1.742,0.701,0.672,1.972,0.419,2.007,2,0.318,"Interoceptive",2.597,37,0.974
"UNFOUND",1,0,0.471,0.941,0,1.941,1.369,0,1.231,1.749,0,2.076,1.941,0.446,"Visual",2.099,17,1
"UNFOUNDED",1.8,0.05,0.35,0.95,0.05,1.95,1.963,0.224,0.671,1.504,0.224,2.164,1.95,0.369,"Visual",2.419,20,1
"UNFOUNDEDLY",1.625,0.125,0.25,0.812,0.125,2.188,1.893,0.5,0.775,1.328,0.5,1.721,2.188,0.402,"Visual",2.483,16,0.842
"UNFRAMED",0.111,0,1.556,0,0,4,0.471,0,1.79,0,0,1.572,4,0.706,"Visual",4.077,18,1
"UNFREEZE",0.579,0.421,1.895,0.263,0.211,3.158,1.17,0.769,1.941,1.147,0.535,1.864,3.158,0.452,"Visual",3.379,19,1
"UNFREEZING",0.053,0.368,3,1.474,0.211,3.053,0.229,0.955,1.563,1.775,0.713,1.9,3.053,0.368,"Visual",3.887,19,1
"UNFREQUENTED",1.375,0.125,0.188,0.75,0,2.375,1.821,0.5,0.544,1.693,0,1.821,2.375,0.494,"Visual",2.542,16,0.889
"UNFRIENDLINESS",2.684,0,0,1.526,0,3.474,1.797,0,0,2.065,0,1.712,3.474,0.452,"Visual",4.017,19,1
"UNFRIENDLY",3.2,0,0.4,2.267,0.067,3.333,1.656,0,0.828,2.154,0.258,1.799,3.333,0.36,"Visual",4.336,15,1
"UNFROSTED",0,1.941,2.059,0,0.235,2.529,0,2.331,2.015,0,0.664,2.211,2.529,0.374,"Visual",3.183,17,1
"UNFROZE",0.647,0.059,2.824,0.353,0.176,3.588,1.656,0.243,1.811,0.862,0.728,1.46,3.588,0.462,"Visual",4.102,17,1
"UNFROZEN",0.447,0.684,2.395,0.684,0.395,3.237,1.083,1.188,1.733,1.561,0.974,1.762,3.237,0.362,"Visual",3.645,38,1
