Word,Auditory.mean,Gustatory.mean,Haptic.mean,Interoceptive.mean,Olfactory.mean,Visual.mean,Auditory.SD,Gustatory.SD,Haptic.SD,Interoceptive.SD,Olfactory.SD,Visual.SD,Max_strength.perceptual,Exclusivity.perceptual,Dominant.perceptual,Minkowski3.perceptual,N_known.perceptual,Percent_known.perceptual
RINSING,1.25,0.125,3.188,1.062,0.188,3.125,1.528,0.5,1.834,1.389,0.403,1.893,3.188,0.343,Haptic,4.043,16,1.0
BEER CAN,1.312,1.375,3.188,0.312,0.75,3.375,1.448,1.928,2.007,1.014,1.238,1.857,3.375,0.297,Visual,4.238,16,1.0
MITT,0.5,0.062,3.188,0.375,0.438,3.125,1.211,0.25,1.559,1.088,0.727,1.857,3.188,0.407,Haptic,3.983,16,0.941
STUBBLE,0.438,0.125,3.188,0.125,0.062,3.25,1.094,0.5,2.007,0.5,0.25,1.77,3.25,0.443,Visual,4.058,16,1.0
GOOSE BUMPS,0.062,0.0,3.188,3.062,0.0,2.938,0.25,0.0,1.682,2.016,0.0,1.482,3.188,0.345,Haptic,4.422,16,1.0
STRADDLING,0.062,0.0,3.188,1.125,0.188,2.812,0.25,0.0,1.94,1.857,0.75,2.167,3.188,0.432,Haptic,3.827,16,0.941
EARRING,0.182,0.0,3.182,0.591,0.0,4.409,0.501,0.0,1.842,1.221,0.0,1.182,4.409,0.527,Visual,4.907,22,1.0
DOUBLE BED,0.303,0.061,3.182,0.364,0.242,4.333,0.637,0.348,1.704,0.929,0.792,0.957,4.333,0.504,Visual,4.844,33,0.971
TIBIA,0.545,0.273,3.182,2.273,0.091,2.455,1.293,0.905,1.662,2.054,0.302,2.067,3.182,0.351,Haptic,3.891,11,0.733
COILING,0.545,0.0,3.182,0.818,0.0,4.455,0.522,0.0,1.601,1.601,0.0,0.688,4.455,0.495,Visual,4.95,11,0.688
PIGSKIN,0.235,1.471,3.176,0.588,1.647,4.0,0.562,1.94,2.069,1.326,1.801,1.414,4.0,0.339,Visual,4.701,17,1.0
ROPES,0.588,0.176,3.176,0.471,0.471,3.824,1.176,0.728,1.776,1.068,1.007,1.425,3.824,0.419,Visual,4.454,17,0.944
LIGHTNESS,1.471,1.118,3.176,1.941,0.647,2.706,1.94,1.764,2.038,2.135,1.412,2.257,3.176,0.229,Haptic,4.001,17,1.0
PAPER CLIP,0.471,0.176,3.176,0.353,0.176,3.882,1.007,0.529,1.845,1.222,0.728,1.317,3.882,0.45,Visual,4.493,17,1.0
STEERING,0.118,0.0,3.176,0.588,0.0,3.118,0.485,0.0,2.007,1.176,0.0,0.993,3.176,0.454,Haptic,3.97,17,1.0
NOZZLE,0.882,0.176,3.176,0.118,0.147,4.118,1.387,0.626,1.766,0.478,0.558,1.225,4.118,0.464,Visual,4.681,34,1.0
NONSOLID,0.882,0.588,3.176,0.235,0.529,3.588,1.453,1.176,2.243,0.752,1.068,1.97,3.588,0.373,Visual,4.296,17,1.0
NAPKIN RING,0.176,0.176,3.176,0.235,0.176,3.647,0.728,0.728,2.007,0.752,0.728,1.656,3.647,0.457,Visual,4.319,17,0.895
STRAIGHTJACKET,0.353,0.176,3.176,1.0,0.176,3.471,0.786,0.728,1.629,1.414,0.728,1.772,3.471,0.394,Visual,4.215,17,1.0
IMPREGNATE,0.647,0.235,3.176,2.941,0.294,2.294,1.367,0.752,1.912,2.221,0.985,1.929,3.176,0.307,Haptic,4.119,17,0.944
TYING,0.294,0.0,3.176,0.529,0.0,2.647,0.985,0.0,2.128,1.007,0.0,2.344,3.176,0.478,Haptic,3.703,17,1.0
HANDLING,0.824,0.471,3.176,0.529,0.176,3.353,1.185,1.068,1.912,1.007,0.529,1.801,3.353,0.372,Visual,4.132,17,1.0
UNGLOVED,0.412,0.235,3.176,0.765,0.176,3.882,1.004,0.752,1.912,1.437,0.728,1.111,3.882,0.429,Visual,4.5,17,1.0
GRAINY,0.235,0.765,3.176,0.176,0.059,3.706,0.97,1.3,1.944,0.728,0.243,1.724,3.706,0.449,Visual,4.369,17,0.944
FRESH FOOD,0.176,4.412,3.176,0.941,3.588,3.765,0.728,1.176,1.845,1.853,1.805,1.64,4.412,0.264,Gustatory,6.021,17,1.0
FORCEPS,0.529,0.0,3.176,0.294,0.059,3.824,1.179,0.0,1.741,0.849,0.243,1.551,3.824,0.485,Visual,4.45,17,0.895
ELASTICITY,0.647,0.294,3.176,0.529,0.353,3.059,1.412,1.213,1.879,1.375,1.222,1.713,3.176,0.358,Haptic,3.94,17,0.944
DESSERTSPOON,0.588,1.412,3.176,0.353,0.471,4.059,1.417,1.77,1.776,1.222,1.068,1.298,4.059,0.368,Visual,4.674,17,0.895
LUXURIOUS,1.529,1.588,3.176,1.588,1.294,4.0,1.505,1.698,1.704,2.002,1.49,1.173,4.0,0.205,Visual,4.789,17,1.0
CHAFE,1.0,0.118,3.176,2.235,0.353,2.353,1.414,0.485,2.069,2.107,0.862,1.693,3.176,0.331,Haptic,3.855,17,0.895
BIRDSEED,0.647,0.412,3.176,0.0,0.294,4.176,1.539,0.795,2.128,0.0,0.686,1.51,4.176,0.48,Visual,4.722,17,1.0
BONDAGE,1.294,0.0,3.176,1.0,0.059,3.647,1.649,0.0,2.099,1.732,0.243,1.902,3.647,0.397,Visual,4.375,17,0.944
CASHEW,0.471,4.706,3.176,0.353,1.824,4.059,1.125,0.588,1.776,1.057,1.667,1.478,4.706,0.298,Gustatory,5.938,17,1.0
TRINKET,1.167,0.056,3.167,0.0,0.111,4.056,1.618,0.236,1.823,0.0,0.471,1.349,4.056,0.474,Visual,4.642,18,1.0
SHINBONE,0.556,0.0,3.167,2.222,0.0,3.389,1.294,0.0,2.176,2.13,0.0,2.004,3.389,0.363,Visual,4.341,18,0.947
HOODIE,0.389,0.222,3.167,0.5,0.444,4.278,1.037,0.732,2.065,1.2,1.294,1.018,4.278,0.451,Visual,4.796,18,1.0
RECLINER,0.611,0.278,3.167,1.111,0.5,4.056,1.501,1.179,1.855,1.779,1.465,1.162,4.056,0.389,Visual,4.645,18,1.0
PASTRY,0.167,4.556,3.167,1.444,4.278,4.111,0.514,1.199,1.689,1.653,0.895,0.963,4.556,0.248,Gustatory,6.519,18,1.0
DIGGING,1.944,0.111,3.167,0.778,0.556,3.944,2.071,0.471,1.855,1.396,1.042,1.589,3.944,0.365,Visual,4.659,18,1.0
NECKPIECE,0.222,0.0,3.167,0.5,0.0,3.611,0.732,0.0,2.093,1.2,0.0,1.883,3.611,0.481,Visual,4.29,18,0.9
BALLOON,1.389,0.222,3.167,0.222,0.444,4.222,1.787,0.732,1.79,0.732,0.922,1.353,4.222,0.414,Visual,4.789,18,1.0
BALDNESS,0.333,0.0,3.167,0.333,0.333,4.444,1.029,0.0,1.948,0.686,0.97,1.042,4.444,0.516,Visual,4.928,18,1.0
RING,1.5,0.0,3.167,0.167,0.0,4.111,1.886,0.0,1.917,0.707,0.0,1.278,4.111,0.46,Visual,4.712,18,1.0
SEA,3.056,1.556,3.167,0.944,2.722,4.0,1.731,1.294,1.654,1.392,1.406,1.534,4.0,0.198,Visual,5.302,18,1.0
CUFFLINK,0.778,0.056,3.167,0.222,0.111,3.667,1.166,0.236,2.065,0.548,0.323,1.879,3.667,0.451,Visual,4.336,18,1.0
DURABLY,0.667,0.0,3.167,0.278,0.111,3.333,0.767,0.0,1.724,0.461,0.323,1.572,3.333,0.441,Visual,4.104,18,0.947
WATER SKIING,2.611,0.556,3.167,2.0,0.778,4.444,2.033,1.464,1.724,2.029,1.003,0.784,4.444,0.287,Visual,5.266,18,1.0
TONGUING,0.417,1.542,3.167,1.583,0.167,2.292,1.1,1.888,1.971,1.792,0.482,2.095,3.167,0.327,Haptic,3.721,24,0.96
RAILING,0.556,0.222,3.167,0.5,0.167,3.667,1.149,0.732,1.689,0.985,0.707,1.68,3.667,0.423,Visual,4.333,18,1.0
LEGGING,0.667,0.278,3.167,0.5,0.278,3.556,1.645,1.179,1.823,1.465,1.179,1.58,3.556,0.388,Visual,4.257,18,1.0
HARD-BOILED EGG,0.333,4.333,3.167,0.444,2.5,4.056,0.767,1.414,1.855,1.247,1.79,1.514,4.333,0.27,Gustatory,5.805,18,1.0
BOOTIE,0.667,0.278,3.167,0.556,0.278,4.111,1.372,0.826,1.823,1.617,0.752,1.231,4.111,0.423,Visual,4.668,18,0.9
THROAT,1.0,0.5,3.167,2.722,0.389,3.389,1.609,1.249,1.543,1.873,1.195,1.852,3.389,0.269,Visual,4.515,18,1.0
ROUGHLY,0.944,0.222,3.167,1.056,0.056,2.722,1.211,0.647,1.917,1.626,0.236,1.742,3.167,0.381,Haptic,3.779,18,1.0
UNDERPANTS,0.333,0.167,3.167,0.722,0.611,4.111,0.686,0.383,1.618,1.227,0.778,0.758,4.111,0.433,Visual,4.671,18,1.0
FOAM RUBBER,1.0,0.167,3.167,0.333,0.667,3.667,1.372,0.707,1.543,0.686,0.767,1.188,3.667,0.389,Visual,4.351,18,1.0
PING-PONG BALL,2.389,0.0,3.167,0.0,0.056,4.0,1.944,0.0,1.948,0.0,0.236,1.749,4.0,0.416,Visual,4.783,18,1.0
HAND PUMP,1.389,0.056,3.167,0.278,0.0,2.778,1.577,0.236,1.948,0.752,0.0,2.074,3.167,0.413,Haptic,3.823,18,1.0
LUSTY,2.167,0.778,3.167,4.444,1.167,3.944,1.823,1.309,1.917,1.247,1.339,1.162,4.444,0.234,Interoceptive,5.78,18,0.857
YOURSELF,3.389,1.111,3.167,3.556,2.222,3.667,1.65,1.906,2.007,1.854,2.045,1.372,3.667,0.149,Visual,5.617,18,1.0
CROCKERY,1.0,0.25,3.167,0.333,0.333,4.0,1.414,0.866,1.697,0.778,0.888,1.537,4.0,0.413,Visual,4.592,12,0.667
FRIGID,0.278,0.278,3.167,3.167,0.0,2.056,0.669,0.575,1.948,1.978,0.0,1.955,3.167,0.354,Interoceptive,4.165,18,1.0
EROTIC,2.556,1.361,3.167,3.806,1.611,3.722,1.748,1.57,1.732,1.451,1.777,1.386,3.806,0.151,Interoceptive,5.449,36,1.0
BOUND,0.611,0.0,3.167,1.111,0.111,2.0,1.29,0.0,1.425,1.568,0.323,1.749,3.167,0.452,Haptic,3.458,18,1.0
STERLING,0.833,0.333,3.167,0.417,0.5,4.083,1.528,0.651,1.992,0.996,0.905,1.443,4.083,0.402,Visual,4.652,12,0.667
KNICKERS,0.222,0.0,3.167,0.222,0.5,4.389,0.548,0.0,1.654,0.732,1.043,1.195,4.389,0.516,Visual,4.883,18,1.0
WRITE,1.116,0.279,3.163,1.186,0.256,3.651,1.636,1.054,1.772,1.763,0.875,1.771,3.651,0.352,Visual,4.369,43,1.0
NOTEPAPER,0.632,0.0,3.158,0.053,0.263,3.842,0.831,0.0,1.425,0.229,0.733,1.463,3.842,0.483,Visual,4.456,19,1.0
CLOTHESPIN,0.263,0.105,3.158,0.053,0.211,3.684,0.562,0.315,1.893,0.229,0.713,1.529,3.684,0.486,Visual,4.336,19,0.905
POCKET,0.316,0.0,3.158,0.211,0.0,4.105,0.946,0.0,1.708,0.713,0.0,1.15,4.105,0.527,Visual,4.653,19,1.0
NOTCHED,0.684,0.105,3.158,0.158,0.105,4.263,1.25,0.459,2.007,0.688,0.459,1.284,4.263,0.491,Visual,4.781,19,1.0
HUGGABLE,0.579,0.105,3.158,1.526,0.368,3.842,1.071,0.459,2.167,1.611,0.684,1.573,3.842,0.39,Visual,4.515,19,0.95
PIN,0.895,0.053,3.158,0.526,0.053,4.053,1.243,0.229,1.708,1.124,0.229,1.311,4.053,0.458,Visual,4.625,19,1.0
KNITWORK,0.263,0.0,3.158,0.158,0.0,3.947,0.733,0.0,1.537,0.501,0.0,1.268,3.947,0.524,Visual,4.531,19,0.905
SANDBAG,0.737,0.263,3.158,0.263,0.316,3.368,1.327,1.147,1.922,1.147,1.157,1.95,3.368,0.383,Visual,4.125,19,1.0
BOYFRIEND,3.053,0.789,3.158,1.421,1.632,3.579,1.957,1.512,2.007,1.953,1.921,1.742,3.579,0.205,Visual,4.841,19,1.0
KNUCKLES,1.0,0.263,3.158,0.789,0.263,3.421,1.795,1.147,2.035,1.584,1.147,2.116,3.421,0.355,Visual,4.18,19,1.0
BREAST IMPLANT,0.421,0.158,3.158,1.368,0.105,4.263,1.216,0.688,1.979,1.739,0.315,1.24,4.263,0.439,Visual,4.815,19,1.0
PANTIES,0.579,0.316,3.158,0.842,1.316,4.421,1.261,1.157,1.834,1.608,1.857,0.838,4.421,0.386,Visual,4.946,19,1.0
SEPARATING,1.684,0.368,3.158,0.895,0.105,3.737,1.565,0.955,1.608,1.329,0.459,1.447,3.737,0.365,Visual,4.468,19,1.0
FOOTBALL,2.737,0.158,3.158,0.211,0.632,4.579,1.695,0.501,1.803,0.535,1.116,0.607,4.579,0.385,Visual,5.293,19,1.0
UMBRELLA,1.053,0.0,3.158,0.368,0.053,4.684,1.58,0.0,1.834,0.955,0.229,0.749,4.684,0.503,Visual,5.136,19,1.0
BABY CARRIAGE,1.895,0.105,3.158,0.105,0.421,4.684,1.761,0.459,1.642,0.459,1.017,0.749,4.684,0.442,Visual,5.207,19,1.0
UNPEELED,0.263,1.0,3.158,0.421,0.737,3.842,0.562,1.528,1.893,1.121,0.991,1.5,3.842,0.38,Visual,4.476,19,1.0
TEST TUBE,0.105,0.105,3.158,0.105,0.211,4.0,0.315,0.315,2.167,0.459,0.535,1.764,4.0,0.507,Visual,4.571,19,1.0
BELLYBUTTON,0.0,0.0,3.158,0.526,0.263,3.579,0.0,0.0,1.573,1.264,0.562,1.924,3.579,0.476,Visual,4.263,19,1.0
EMBROIDERY,0.579,0.105,3.158,0.526,0.368,4.316,1.17,0.459,1.922,1.307,1.012,1.003,4.316,0.465,Visual,4.824,19,0.95
STEPSTOOL,0.158,0.053,3.158,0.053,0.053,3.868,0.594,0.324,1.701,0.324,0.324,1.597,3.868,0.52,Visual,4.471,38,0.927
RAINWEAR,0.842,0.105,3.158,0.105,0.632,3.684,1.463,0.459,1.708,0.459,1.3,1.797,3.684,0.42,Visual,4.351,19,0.95
FRYING PAN,1.737,0.211,3.158,0.263,0.895,4.0,1.851,0.918,1.772,0.733,1.595,1.291,4.0,0.369,Visual,4.664,19,1.0
CEMENT,0.421,0.105,3.158,0.105,1.0,4.263,0.692,0.459,1.803,0.459,1.599,1.098,4.263,0.459,Visual,4.792,19,1.0
CERAMIC,0.526,0.0,3.158,0.0,0.579,3.789,1.307,0.0,1.642,0.0,1.216,1.357,3.789,0.471,Visual,4.418,19,1.0
POCKMARK,0.154,0.154,3.154,0.385,0.154,4.692,0.555,0.555,1.676,0.768,0.555,0.63,4.692,0.522,Visual,5.127,13,0.684
COITUS,2.462,0.538,3.154,3.385,1.077,3.077,1.613,0.877,2.267,1.609,1.256,1.754,3.385,0.208,Interoceptive,4.871,13,0.722
FLACCIDLY,0.615,0.154,3.154,1.846,0.0,3.769,1.446,0.555,1.819,1.772,0.0,1.922,3.769,0.395,Visual,4.505,13,0.722
FOOTBALL HELMET,0.846,0.154,3.154,0.385,0.615,4.038,1.287,0.784,1.87,1.023,0.941,1.536,4.038,0.423,Visual,4.613,26,1.0
RIBBED,1.154,0.077,3.154,1.154,0.0,2.923,1.864,0.277,2.267,1.519,0.0,2.465,3.154,0.373,Haptic,3.902,13,0.929
GRITTINESS,1.636,1.455,3.152,1.242,0.485,3.0,1.884,1.804,1.955,1.838,1.326,1.785,3.152,0.243,Haptic,4.077,33,1.0
BELONGINGS,1.05,0.55,3.15,0.9,1.0,3.95,1.849,1.538,1.954,1.619,1.622,1.572,3.95,0.321,Visual,4.578,20,1.0
CURRENCY,0.55,0.05,3.15,0.3,0.4,3.9,0.826,0.224,2.159,0.801,0.995,1.483,3.9,0.461,Visual,4.495,20,1.0
CARD,0.7,0.0,3.15,0.15,0.05,4.2,1.218,0.0,1.599,0.671,0.224,1.105,4.2,0.509,Visual,4.728,20,1.0
TWEEZER,0.35,0.0,3.15,0.05,0.0,3.95,0.745,0.0,2.059,0.224,0.0,1.432,3.95,0.527,Visual,4.529,20,1.0
BROOMSTICK,0.7,0.0,3.15,0.0,0.0,3.75,1.342,0.0,1.872,0.0,0.0,1.773,3.75,0.493,Visual,4.385,20,1.0
NUZZLE,0.3,0.15,3.15,0.4,0.05,2.45,0.657,0.489,1.694,0.883,0.224,1.905,3.15,0.477,Haptic,3.585,20,0.952
FUTON,0.45,0.15,3.15,0.45,0.25,3.7,0.887,0.671,1.565,1.05,0.716,1.559,3.7,0.436,Visual,4.346,20,1.0
CRISP,2.2,2.4,3.15,0.8,0.7,1.95,1.989,1.984,1.843,1.24,1.418,1.849,3.15,0.219,Haptic,4.0,20,1.0
GENITAL,0.35,0.75,3.15,1.6,1.25,3.35,0.933,1.618,2.11,2.088,1.832,1.954,3.35,0.287,Visual,4.224,20,1.0
TWIG,0.8,0.0,3.15,0.05,0.85,4.2,1.322,0.0,1.954,0.224,1.663,1.436,4.2,0.464,Visual,4.74,20,1.0
LIP BALM,0.265,2.559,3.147,0.5,2.147,3.647,0.994,1.812,2.017,1.052,1.828,1.649,3.647,0.276,Visual,4.74,34,1.0
LICKING,0.618,3.618,3.147,1.912,0.588,2.353,1.155,1.985,2.134,2.021,1.131,1.873,3.618,0.248,Gustatory,4.626,34,0.971
COUPLING,1.0,0.143,3.143,1.143,0.5,3.643,1.468,0.363,1.994,1.703,1.345,1.737,3.643,0.366,Visual,4.345,14,0.824
THINGAMAJIG,2.0,0.929,3.143,0.857,0.929,3.929,1.664,1.73,1.791,1.562,1.73,1.328,3.929,0.261,Visual,4.671,14,0.778
PUFFBALL,0.286,0.714,3.143,0.429,0.429,4.143,0.784,1.586,1.769,1.207,1.165,1.389,4.143,0.422,Visual,4.683,21,1.0
POCKET CALCULATOR,0.686,0.0,3.143,0.171,0.029,4.114,1.183,0.0,1.785,0.747,0.169,1.491,4.114,0.505,Visual,4.657,35,1.0
AMBIDEXTROUSLY,0.643,0.357,3.143,1.714,0.357,3.071,1.499,1.336,1.834,1.773,1.336,2.093,3.143,0.3,Haptic,4.029,14,0.824
COLD SNAP,0.643,0.071,3.143,2.643,0.286,2.214,0.842,0.267,1.875,1.946,0.469,1.805,3.143,0.341,Haptic,3.929,14,0.875
BUTCHER KNIFE,0.667,0.0,3.143,0.048,0.0,4.048,1.197,0.0,1.931,0.218,0.0,1.161,4.048,0.512,Visual,4.605,21,1.0
PLIANT,0.929,0.071,3.143,0.429,0.071,3.286,1.385,0.267,2.349,0.756,0.267,2.016,3.286,0.405,Visual,4.07,14,0.875
CHIFFON,0.571,0.429,3.143,0.071,0.0,3.286,1.089,1.342,2.248,0.267,0.0,2.016,3.286,0.438,Visual,4.057,14,0.778
CHRISTMASTREE,0.545,0.182,3.136,0.545,3.318,4.5,1.101,0.664,1.781,1.224,1.836,0.964,4.5,0.353,Visual,5.416,22,1.0
ID CARD,0.045,0.0,3.136,0.091,0.045,4.545,0.213,0.0,1.885,0.426,0.213,1.143,4.545,0.578,Visual,4.997,22,1.0
SWOLLEN,0.467,0.0,3.133,3.2,0.0,3.333,0.915,0.0,1.767,1.821,0.0,1.676,3.333,0.329,Visual,4.652,15,0.938
TERRIER,3.533,0.0,3.133,0.333,2.0,4.267,1.06,0.0,1.642,0.816,1.464,0.884,4.267,0.322,Visual,5.435,15,0.938
SWITCHBLADE,1.0,0.067,3.133,1.333,0.067,3.933,1.309,0.258,1.846,1.877,0.258,1.28,3.933,0.406,Visual,4.563,15,1.0
CIGAR BOX,0.6,0.6,3.133,0.467,2.933,4.067,1.121,1.183,1.685,1.06,1.792,1.751,4.067,0.305,Visual,4.984,15,1.0
SUBMERSE,1.333,0.133,3.133,1.533,0.333,3.867,1.799,0.516,1.457,1.922,1.047,1.407,3.867,0.361,Visual,4.556,15,0.882
ETCHING,0.533,0.133,3.133,0.2,0.133,3.667,1.125,0.516,1.846,0.561,0.516,1.397,3.667,0.453,Visual,4.313,15,0.882
STRING,0.4,0.133,3.133,0.2,0.133,3.4,0.91,0.516,1.995,0.775,0.516,1.957,3.4,0.441,Visual,4.124,15,1.0
VULVA,0.133,0.667,3.133,1.667,0.933,3.467,0.352,1.047,1.685,1.877,0.884,1.598,3.467,0.333,Visual,4.276,15,0.882
POSTBAG,0.2,0.267,3.133,0.267,0.667,3.333,0.561,0.799,1.922,1.033,1.291,1.988,3.333,0.398,Visual,4.084,15,0.938
TOUPEE,0.0,0.0,3.133,0.067,0.2,4.133,0.0,0.0,1.846,0.258,0.775,1.598,4.133,0.549,Visual,4.663,15,0.882
OTTOMAN,0.333,0.0,3.133,0.533,0.2,3.867,0.724,0.0,1.552,1.06,0.561,1.598,3.867,0.479,Visual,4.461,15,0.833
EYELET,0.067,0.0,3.133,0.133,0.0,4.533,0.258,0.0,1.246,0.516,0.0,0.64,4.533,0.576,Visual,4.986,15,0.938
SCRUNCH,1.067,0.2,3.133,0.867,0.067,2.467,1.387,0.775,1.767,1.302,0.258,1.598,3.133,0.393,Haptic,3.625,15,0.833
CORNCOB,0.25,3.312,3.125,0.125,2.25,3.5,0.577,1.778,1.928,0.342,1.653,1.789,3.5,0.269,Visual,4.948,16,0.889
NONSTICK,0.375,0.062,3.125,0.188,0.0,2.5,1.258,0.25,1.857,0.544,0.0,2.16,3.125,0.5,Haptic,3.588,16,1.0
DRUM KIT,4.312,0.0,3.125,0.375,0.0,3.625,1.448,0.0,1.821,1.258,0.0,1.708,4.312,0.377,Auditory,5.411,16,1.0
BICEP,0.312,0.0,3.125,1.0,0.0,3.5,1.25,0.0,1.746,1.592,0.0,1.932,3.5,0.441,Visual,4.206,16,1.0
LAMINATION,0.375,0.0,3.125,0.25,0.25,3.688,0.806,0.0,1.857,1.0,0.577,1.537,3.688,0.48,Visual,4.322,16,0.842
GRIME,0.062,0.062,3.125,0.125,1.375,4.25,0.25,0.25,1.857,0.5,1.586,1.065,4.25,0.465,Visual,4.79,16,1.0
CHUBBINESS,0.438,0.312,3.125,1.938,0.188,4.562,1.209,0.873,1.455,1.692,0.75,0.727,4.562,0.414,Visual,5.103,16,0.889
CROCHET,0.688,0.125,3.125,0.375,0.25,4.062,1.078,0.5,1.857,0.806,0.577,1.389,4.062,0.457,Visual,4.61,16,0.842
TAUT,0.5,0.0,3.125,0.875,0.125,4.062,1.095,0.0,1.784,1.408,0.5,1.436,4.062,0.468,Visual,4.616,16,0.941
SCALY,0.25,0.25,3.125,0.5,0.312,3.25,0.577,0.775,2.277,1.155,0.793,1.88,3.25,0.39,Visual,4.021,16,0.941
BEARSKIN,0.188,0.0,3.125,0.0,0.062,3.188,0.75,0.0,2.094,0.0,0.25,1.974,3.188,0.486,Visual,3.977,16,1.0
SCOOPER,0.125,0.062,3.125,0.0,0.0,3.625,0.342,0.25,1.928,0.0,0.0,1.668,3.625,0.523,Visual,4.275,16,1.0
CLASPING,0.812,0.125,3.125,1.062,0.125,3.562,1.642,0.5,2.029,1.806,0.5,1.632,3.562,0.39,Visual,4.263,16,0.941
CHILLINESS,0.875,0.125,3.125,3.875,0.188,2.0,1.455,0.342,1.668,1.5,0.403,1.966,3.875,0.368,Interoceptive,4.601,16,1.0
FOLDABLE,0.062,0.0,3.125,0.25,0.0,3.125,0.25,0.0,2.156,1.0,0.0,2.094,3.125,0.476,Haptic,3.938,16,1.0
WINE BOTTLE,0.688,0.562,3.125,0.312,0.688,4.312,1.138,1.094,1.708,0.704,0.946,1.25,4.312,0.413,Visual,4.814,16,1.0
CRINKLY,2.25,0.0,3.125,0.125,0.0,3.25,2.436,0.0,2.187,0.5,0.0,2.145,3.25,0.371,Visual,4.24,16,0.941
AIR RIFLE,3.25,0.0,3.125,0.188,0.438,4.0,1.88,0.0,2.029,0.544,1.031,1.366,4.0,0.364,Visual,5.052,16,0.941
FROSTBITE,0.062,0.062,3.125,3.5,0.312,1.938,0.25,0.25,2.247,2.0,1.014,1.914,3.5,0.382,Interoceptive,4.321,16,1.0
VAGINAL,0.688,1.562,3.125,2.375,1.438,3.5,0.946,2.097,1.893,2.247,1.75,1.592,3.5,0.222,Visual,4.545,16,1.0
ANTIQUES,0.625,0.312,3.125,0.375,0.75,4.312,1.408,1.25,1.544,1.258,1.39,0.946,4.312,0.421,Visual,4.813,16,1.0
SAUCEPAN,0.927,0.488,3.122,0.146,0.634,4.073,1.571,1.267,1.913,0.792,1.299,1.618,4.073,0.418,Visual,4.629,41,1.0
LEG,0.529,0.118,3.118,1.294,0.235,3.824,0.874,0.332,1.576,1.49,0.752,1.59,3.824,0.406,Visual,4.457,17,1.0
PENNY,0.529,0.059,3.118,0.294,0.412,4.471,1.179,0.243,1.799,0.849,0.618,0.717,4.471,0.497,Visual,4.931,17,1.0
CHRISTMAS CARD,0.529,0.118,3.118,0.412,0.294,4.412,0.717,0.332,1.799,0.87,0.686,1.228,4.412,0.483,Visual,4.883,17,1.0
TABLES,0.529,0.0,3.118,0.294,0.176,4.412,1.125,0.0,1.576,0.985,0.393,0.795,4.412,0.517,Visual,4.882,17,1.0
FOLDING,0.118,0.0,3.118,0.176,0.0,3.647,0.332,0.0,1.799,0.728,0.0,1.412,3.647,0.517,Visual,4.288,17,1.0
WOODCUTTING,2.941,0.118,3.118,0.176,1.412,3.765,1.391,0.332,1.764,0.529,1.502,1.522,3.765,0.316,Visual,4.819,17,1.0
TWIST,0.824,0.118,3.118,0.765,0.0,4.647,1.59,0.485,2.233,1.251,0.0,0.702,4.647,0.491,Visual,5.087,17,1.0
COFFEEPOT,2.118,0.353,3.118,0.176,2.118,4.176,1.691,0.996,2.205,0.728,1.799,1.38,4.176,0.332,Visual,4.962,17,1.0
MUSCULAR,0.118,0.059,3.118,1.647,0.059,4.294,0.332,0.243,1.9,2.09,0.243,1.105,4.294,0.456,Visual,4.848,17,1.0
TRICEPS,0.324,0.176,3.118,1.676,0.206,3.441,0.912,0.626,1.684,1.804,0.641,1.691,3.441,0.365,Visual,4.232,34,0.944
POROUS,0.294,0.118,3.118,0.118,0.0,4.118,0.686,0.332,1.833,0.332,0.0,1.495,4.118,0.53,Visual,4.644,17,0.944
PELVIS,0.353,0.0,3.118,1.294,0.0,4.059,1.222,0.0,2.027,1.896,0.0,1.6,4.059,0.46,Visual,4.632,17,1.0
ICE CREAM CONE,1.176,4.176,3.118,1.824,2.294,3.294,1.879,1.131,1.616,2.007,1.448,1.687,4.176,0.189,Gustatory,5.414,17,1.0
SEATING,0.412,0.294,3.118,1.471,0.235,2.588,1.004,1.213,1.616,2.035,0.752,2.033,3.118,0.355,Haptic,3.707,17,1.0
GLASSLIKE,0.706,0.176,3.118,0.294,0.118,4.0,1.047,0.728,1.654,0.849,0.332,1.414,4.0,0.462,Visual,4.558,17,1.0
FLATTEN OUT,1.118,0.294,3.118,0.882,0.294,3.412,1.764,1.213,2.088,1.764,1.213,1.583,3.412,0.342,Visual,4.163,17,0.944
GOLDEN RETRIEVER,2.882,0.235,3.118,0.471,2.059,4.471,1.799,0.97,1.764,1.125,1.919,1.125,4.471,0.32,Visual,5.342,17,1.0
DRAFTINESS,0.765,0.0,3.118,1.706,0.0,0.647,1.348,0.0,1.691,1.795,0.0,1.367,3.118,0.5,Haptic,3.301,17,0.895
BALL,0.765,0.059,3.118,0.118,0.0,3.824,1.251,0.243,1.616,0.332,0.0,1.38,3.824,0.485,Visual,4.425,17,1.0
UNTYING,0.471,0.0,3.118,0.235,0.0,3.706,1.281,0.0,2.058,0.752,0.0,1.687,3.706,0.492,Visual,4.332,17,0.944
KEVLAR,0.588,0.059,3.118,0.235,0.412,3.059,1.121,0.243,1.867,0.752,1.004,1.952,3.118,0.409,Haptic,3.898,17,0.895
WEDGE,0.412,0.059,3.118,0.235,0.059,4.471,0.939,0.243,2.088,0.752,0.243,1.281,4.471,0.528,Visual,4.929,17,0.944
