Word,Auditory.mean,Gustatory.mean,Haptic.mean,Interoceptive.mean,Olfactory.mean,Visual.mean,Auditory.SD,Gustatory.SD,Haptic.SD,Interoceptive.SD,Olfactory.SD,Visual.SD,Max_strength.perceptual,Exclusivity.perceptual,Dominant.perceptual,Minkowski3.perceptual,N_known.perceptual,Percent_known.perceptual
TELEPHONE,4.15,0.05,3.25,0.25,0.25,4.0,1.631,0.224,1.743,0.639,0.786,1.522,4.15,0.343,Auditory,5.538,20,1.0
LUXURIOUSLY,1.75,2.2,3.25,1.85,1.75,3.95,1.713,1.881,1.65,1.954,1.682,1.356,3.95,0.149,Visual,4.982,20,1.0
STICKS,1.438,0.125,3.25,0.188,0.375,4.625,1.548,0.342,1.342,0.544,0.719,0.719,4.625,0.45,Visual,5.146,16,1.0
BEACH CHAIR,0.312,0.0,3.25,0.625,0.375,4.062,0.793,0.0,1.77,1.025,0.806,1.34,4.062,0.471,Visual,4.668,16,1.0
CHEST,0.375,0.0,3.25,0.688,0.312,4.062,1.258,0.0,2.017,1.58,1.25,1.482,4.062,0.468,Visual,4.669,16,1.0
SLACKS,0.5,0.05,3.25,0.3,0.55,3.95,1.051,0.224,1.86,0.733,1.146,1.276,3.95,0.453,Visual,4.583,20,1.0
CARDIGAN,0.05,0.0,3.25,0.35,0.2,4.3,0.224,0.0,1.943,1.182,0.41,1.218,4.3,0.528,Visual,4.847,20,1.0
BRICK,0.364,0.0,3.242,0.121,0.182,4.091,0.603,0.0,1.458,0.545,0.465,1.466,4.091,0.511,Visual,4.682,33,1.0
DOGGY,3.238,0.238,3.238,0.571,2.381,4.095,1.921,1.091,2.143,1.028,2.061,1.786,4.095,0.28,Visual,5.317,21,0.955
CARBON PAPER,0.816,0.053,3.237,0.053,0.737,3.737,1.27,0.324,1.866,0.324,1.329,1.554,3.737,0.427,Visual,4.432,38,0.927
SHOVE,0.706,0.0,3.235,1.059,0.0,3.353,1.359,0.0,1.602,1.478,0.0,1.869,3.353,0.401,Visual,4.181,17,1.0
FELT-TIP PEN,0.706,0.059,3.235,0.059,0.471,3.824,1.213,0.243,1.888,0.243,0.874,1.51,3.824,0.451,Visual,4.485,17,1.0
CONCAVENESS,0.706,0.529,3.235,0.706,0.824,3.471,1.49,1.375,1.855,1.532,1.845,1.972,3.471,0.311,Visual,4.256,17,0.81
RUGGED,1.294,0.529,3.235,1.412,0.471,3.647,1.404,1.375,1.821,1.661,0.943,1.367,3.647,0.3,Visual,4.441,17,0.944
FELINE,3.235,0.118,3.235,0.588,1.294,4.294,1.715,0.485,1.715,1.502,1.532,1.49,4.294,0.327,Visual,5.305,17,1.0
SHELF,0.176,0.0,3.235,0.176,0.0,4.471,0.728,0.0,1.562,0.728,0.0,0.8,4.471,0.555,Visual,4.976,17,1.0
YO-YO,0.647,0.118,3.235,0.176,0.176,3.412,1.115,0.485,1.786,0.529,0.728,1.906,3.412,0.424,Visual,4.196,17,0.944
BREASTFEEDING,1.118,1.412,3.235,2.529,0.765,3.529,1.495,1.661,2.016,2.267,1.48,1.7,3.529,0.22,Visual,4.621,17,1.0
MUSKET,3.471,0.118,3.235,0.882,1.647,4.235,2.004,0.332,1.954,1.409,1.766,1.251,4.235,0.303,Visual,5.392,17,0.895
GRIMY,0.294,0.294,3.235,0.294,0.765,3.706,0.772,0.985,1.3,1.213,1.2,1.448,3.706,0.397,Visual,4.402,17,1.0
STEP STOOL,0.353,0.0,3.235,0.0,0.0,4.765,0.862,0.0,2.047,0.0,0.0,0.752,4.765,0.57,Visual,5.218,17,1.0
CORK,1.118,0.176,3.235,0.059,0.529,3.706,1.576,0.529,1.888,0.243,0.943,1.572,3.706,0.413,Visual,4.419,17,1.0
SPORTSWEAR,0.529,0.294,3.235,0.294,0.588,4.176,1.281,1.213,1.985,1.213,1.278,1.38,4.176,0.426,Visual,4.749,17,1.0
PUCK,1.706,0.059,3.235,0.0,0.118,4.294,1.649,0.243,1.985,0.0,0.485,1.404,4.294,0.456,Visual,4.905,17,0.944
