Word,Auditory.mean,Gustatory.mean,Haptic.mean,Interoceptive.mean,Olfactory.mean,Visual.mean,Auditory.SD,Gustatory.SD,Haptic.SD,Interoceptive.SD,Olfactory.SD,Visual.SD,Max_strength.perceptual,Exclusivity.perceptual,Dominant.perceptual,Minkowski3.perceptual,N_known.perceptual,Percent_known.perceptual
SNUGLY,0.615,0.154,3.923,2.385,0.923,2.308,1.446,0.555,1.801,1.557,1.891,2.016,3.923,0.366,Haptic,4.435,13,0.867
SCRATCHY,1.364,0.136,3.909,2.273,0.091,1.909,1.465,0.351,1.571,1.98,0.426,1.9,3.909,0.394,Haptic,4.326,22,1.0
SCAB,0.05,0.0,3.9,1.0,0.2,4.05,0.224,0.0,1.683,1.654,0.696,1.605,4.05,0.44,Visual,5.023,20,1.0
LATHER,0.4,0.05,3.9,0.25,0.55,3.2,1.142,0.224,1.294,0.786,1.234,1.936,3.9,0.461,Haptic,4.52,20,1.0
RAYON,0.4,0.0,3.9,0.1,0.4,2.7,0.966,0.0,1.101,0.316,0.516,2.003,3.9,0.52,Haptic,4.293,10,0.556
ICICLE,0.675,1.15,3.9,0.85,0.225,4.125,1.269,1.594,1.374,1.61,0.862,1.471,4.125,0.357,Visual,5.091,40,0.976
TERRYCLOTH,0.05,0.0,3.9,0.1,0.5,4.15,0.224,0.0,1.586,0.308,1.192,1.089,4.15,0.477,Visual,5.078,20,0.909
DRY,0.7,1.8,3.9,1.4,0.45,3.25,1.081,1.704,1.619,1.818,0.826,1.65,3.9,0.3,Haptic,4.682,20,1.0
CLOTHING,0.263,0.0,3.895,0.526,1.105,4.053,0.562,0.0,1.41,0.905,1.792,1.177,4.053,0.412,Visual,5.029,19,1.0
NYLON,0.526,0.105,3.895,0.158,0.368,4.158,0.841,0.459,1.823,0.375,0.831,1.214,4.158,0.44,Visual,5.081,19,1.0
SAND,0.421,0.263,3.895,0.105,0.263,3.579,0.838,0.733,1.595,0.315,0.733,1.502,3.895,0.444,Haptic,4.718,19,1.0
ARMLOAD,0.368,0.263,3.895,0.474,0.211,3.421,1.165,0.806,1.487,0.905,0.713,1.924,3.895,0.427,Haptic,4.631,19,1.0
BODY,2.105,0.789,3.895,2.526,2.368,4.316,2.025,1.653,1.792,2.366,1.95,1.455,4.316,0.22,Visual,5.633,19,1.0
